                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7496,                 3.8291,                 1.6965,                 0.0203,                0.51823,                0.24149,                 0.1455,                 1.3962,                 3.9141,                 1.4277,             0.00034441,             0.00034441,             0.00034441
                      2,                 1.6956,                 2.7934,                 1.5908,                0.50942,                0.69712,                0.67007,                0.38541,                 1.4497,                 3.0677,                 1.3433,             0.00068607,             0.00068607,             0.00068607
                      3,                 1.6087,                 2.2566,                 1.5061,                 0.6152,                0.72848,                0.75593,                0.40652,                  1.599,                 2.2418,                 1.4025,              0.0010137,              0.0010137,              0.0010137
                      4,                 1.6709,                 2.2467,                 1.5495,                0.72263,                0.57674,                0.71246,                0.42585,                 1.5641,                 2.1874,                  1.413,               0.001045,               0.001045,               0.001045
                      5,                 1.6764,                 2.0373,                 1.5457,                0.48214,                 0.6279,                0.59151,                0.34072,                 1.5479,                 2.1131,                 1.4478,               0.001023,               0.001023,               0.001023
                      6,                 1.5783,                 1.9327,                 1.5151,                0.78193,                0.66724,                0.72623,                0.42073,                 1.5392,                 1.5535,                 1.4568,               0.001001,               0.001001,               0.001001
                      7,                 1.5846,                 1.9223,                 1.4905,                0.89855,                0.75087,                0.80068,                0.49051,                 1.4415,                 1.3305,                 1.3786,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.5588,                 1.7478,                  1.446,                0.90411,                0.79454,                0.88477,                0.52287,                 1.4752,                 1.4318,                  1.421,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.5668,                 1.7125,                 1.4613,                0.81216,                0.68861,                0.72437,                0.43431,                  1.531,                 2.4646,                 1.3772,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.5473,                 1.6518,                 1.4503,                 0.7504,                0.77019,                0.83582,                 0.4891,                 1.4516,                 1.2325,                 1.4124,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.4867,                 1.5504,                 1.4278,                0.92587,                0.83651,                0.87507,                0.52059,                 1.3461,                 1.1493,                 1.3393,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.4619,                 1.4781,                 1.3977,                0.84531,                0.82083,                 0.8361,                0.52132,                 1.4182,                 1.0464,                  1.356,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.4506,                 1.3999,                 1.3746,                0.94282,                0.81115,                0.87643,                0.52536,                 1.3775,                0.98051,                 1.3136,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.4341,                 1.3683,                 1.3457,                0.96497,                0.90689,                0.92016,                0.57433,                 1.3863,                0.94891,                 1.2918,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.4297,                 1.3664,                 1.3597,                0.91368,                0.86526,                0.91164,                0.55096,                 1.4198,                0.97339,                 1.3617,             0.00080303,             0.00080303,             0.00080303
                     16,                  1.403,                 1.2994,                 1.3618,                0.93721,                0.86633,                0.91246,                0.55901,                 1.3902,                0.92091,                 1.2968,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.4226,                  1.343,                 1.3677,                0.89593,                0.87196,                0.91674,                0.58321,                 1.3067,                0.86991,                 1.2874,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.3629,                 1.2208,                 1.3152,                0.96197,                0.83435,                0.87783,                0.56216,                   1.34,                0.82299,                 1.3015,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.3897,                 1.2047,                 1.3444,                0.95071,                0.87912,                0.91243,                0.55557,                 1.3425,                0.84716,                 1.3128,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.3594,                 1.1521,                  1.313,                0.96653,                0.88123,                0.91606,                0.57427,                 1.3724,                0.84841,                 1.3036,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.3725,                 1.1728,                 1.3302,                0.90715,                0.85399,                0.88143,                0.55683,                 1.3857,                0.85521,                 1.3167,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.3034,                 1.0838,                 1.2872,                0.80758,                 0.9143,                0.87832,                0.55721,                 1.3178,                0.79842,                  1.319,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.3147,                 1.0938,                    1.3,                0.96016,                0.85118,                0.87792,                0.56287,                 1.3181,                0.80019,                 1.2765,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.3163,                 1.0987,                 1.3054,                0.91542,                0.90808,                0.91073,                0.57409,                 1.3066,                0.74719,                 1.3092,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.2983,                 1.0327,                 1.2816,                0.95677,                 0.8393,                0.90881,                0.58309,                 1.3154,                 0.7437,                 1.2946,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.2577,                0.96821,                 1.2461,                0.88535,                0.87937,                0.91396,                0.59599,                 1.3111,                0.75075,                 1.2811,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.2845,                0.99954,                  1.266,                0.94786,                0.85437,                0.92092,                 0.5856,                 1.3246,                0.75204,                 1.2893,             0.00053906,             0.00053906,             0.00053906
                     28,                 1.2321,                0.99039,                 1.2406,                0.88117,                0.89996,                 0.8972,                0.57776,                 1.2973,                0.73205,                 1.2881,             0.00051706,             0.00051706,             0.00051706
                     29,                 1.2225,                0.97422,                 1.2386,                0.87728,                 0.8844,                0.91004,                0.54768,                 1.3083,                0.73045,                 1.2736,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.2197,                0.92652,                 1.2236,                 0.9666,                0.87434,                0.92483,                0.59519,                  1.319,                0.70586,                 1.2583,             0.00047306,             0.00047306,             0.00047306
                     31,                  1.203,                 0.9371,                 1.2187,                0.92453,                0.87957,                0.91713,                0.58299,                 1.3388,                0.74251,                 1.2792,             0.00045107,             0.00045107,             0.00045107
                     32,                 1.2039,                0.90553,                 1.1982,                0.92052,                0.91215,                0.91966,                0.59421,                 1.3007,                0.66341,                  1.283,             0.00042907,             0.00042907,             0.00042907
                     33,                 1.1894,                0.90184,                 1.2087,                0.92383,                0.90441,                0.91468,                0.57676,                 1.3118,                0.67162,                 1.2687,             0.00040707,             0.00040707,             0.00040707
                     34,                 1.1724,                0.88417,                 1.2036,                0.90213,                0.91916,                0.91434,                0.59019,                 1.3215,                0.66196,                 1.2802,             0.00038507,             0.00038507,             0.00038507
                     35,                 1.1892,                0.90003,                 1.1976,                0.92069,                0.90607,                0.90717,                0.60955,                 1.2974,                0.66361,                 1.2615,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.1689,                0.85583,                 1.1757,                0.92066,                 0.9041,                0.92678,                0.61459,                 1.2812,                0.63885,                 1.2608,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.1465,                0.85559,                  1.189,                0.90895,                0.88281,                0.92632,                0.60725,                 1.3033,                0.64646,                 1.2673,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.1365,                0.83173,                   1.17,                0.90936,                0.90953,                0.93017,                0.61322,                 1.2798,                0.62097,                 1.2549,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.1101,                0.82739,                 1.1721,                0.96154,                0.89286,                0.93123,                0.60182,                 1.2743,                0.63319,                 1.2553,             0.00027508,             0.00027508,             0.00027508
